"Gene_name" "P_values" "Adjusted_value" "is_significant"
"4082" "TMEM164" 1.330836e-12 8.50952373809524e-11 TRUE
"4116" "FDX1" 1.020396e-12 8.50952373809524e-11 TRUE
"4143" "TGFBR3" 2.460697e-12 8.50952373809524e-11 TRUE
"4162" "EHF" 1.330836e-12 8.50952373809524e-11 TRUE
"4170" "ESRRG" 1.115025e-12 8.50952373809524e-11 TRUE
"4203" "BAG4" 1.165516e-12 8.50952373809524e-11 TRUE
"4252" "PCP4" 2.065902e-12 8.50952373809524e-11 TRUE
"4320" "LPCAT1" 1.733432e-12 8.50952373809524e-11 TRUE
"4332" "PLEKHD1" 9.336619e-13 8.50952373809524e-11 TRUE
"4363" "TNFRSF4" 1.977347e-12 8.50952373809524e-11 TRUE
"4467" "RNF150" 1.587485e-12 8.50952373809524e-11 TRUE
"4509" "DBT" 1.330836e-12 8.50952373809524e-11 TRUE
"4526" "NOL3" 1.733227e-12 8.50952373809524e-11 TRUE
"4582" "PNKD" 8.930507e-13 8.50952373809524e-11 TRUE
"4651" "BMPR1B" 1.165516e-12 8.50952373809524e-11 TRUE
"4652" "ILDR1" 2.158345e-12 8.50952373809524e-11 TRUE
"4668" "IFNGR2" 2.570428e-12 8.50952373809524e-11 TRUE
"4688" "PIP4K2C" 1.21825e-12 8.50952373809524e-11 TRUE
"4711" "GSTM3" 9.760842e-13 8.50952373809524e-11 TRUE
"4717" "SLC15A4" 9.336619e-13 8.50952373809524e-11 TRUE
"4875" "KCNJ10" 9.760842e-13 8.50952373809524e-11 TRUE
"4909" "DHRS11" 1.977347e-12 8.50952373809524e-11 TRUE
"5050" "GSTO2" 2.460697e-12 8.50952373809524e-11 TRUE
"5086" "PML" 1.020396e-12 8.50952373809524e-11 TRUE
"5178" "VAMP7" 2.57091e-12 8.50952373809524e-11 TRUE
"5187" "ESRP2" 1.390896e-12 8.50952373809524e-11 TRUE
"5226" "NAT8L" 1.273322e-12 8.50952373809524e-11 TRUE
"5272" "APOBEC3H" 1.733432e-12 8.50952373809524e-11 TRUE
"5276" "RHBDF2" 1.020396e-12 8.50952373809524e-11 TRUE
"5327" "P4HA1" 1.390896e-12 8.50952373809524e-11 TRUE
"5329" "SH3BGR" 2.25484e-12 8.50952373809524e-11 TRUE
"5331" "MAGI3" 2.25484e-12 8.50952373809524e-11 TRUE
"5349" "NAP1L2" 8.169609e-13 8.50952373809524e-11 TRUE
"5423" "F11" 1.273322e-12 8.50952373809524e-11 TRUE
"5425" "HLA-A" 1.390896e-12 8.50952373809524e-11 TRUE
"5458" "AZI2" 2.460697e-12 8.50952373809524e-11 TRUE
"5534" "FAM3B" 1.977347e-12 8.50952373809524e-11 TRUE
"5583" "ZNF552" 2.460697e-12 8.50952373809524e-11 TRUE
"5616" "PRKAR2B" 9.336619e-13 8.50952373809524e-11 TRUE
"5657" "LSAMP" 2.158345e-12 8.50952373809524e-11 TRUE
"5665" "SOGA2" 1.733432e-12 8.50952373809524e-11 TRUE
"5691" "CGNL1" 1.519103e-12 8.50952373809524e-11 TRUE
"5739" "ARHGDIB" 1.977347e-12 8.50952373809524e-11 TRUE
"5781" "RBM11" 7.813398e-13 8.50952373809524e-11 TRUE
"5816" "LOH12CR2" 2.158345e-12 8.50952373809524e-11 TRUE
"5853" "FAM222A" 9.760842e-13 8.50952373809524e-11 TRUE
"5881" "SPAG16" 1.115025e-12 8.50952373809524e-11 TRUE
"5888" "AKIRIN1" 1.811263e-12 8.50952373809524e-11 TRUE
"5890" "CALB1" 1.811263e-12 8.50952373809524e-11 TRUE
"5910" "VASH1" 1.21825e-12 8.50952373809524e-11 TRUE
"5940" "ODF3B" 1.733432e-12 8.50952373809524e-11 TRUE
"5951" "HOXD8" 8.169609e-13 8.50952373809524e-11 TRUE
"5958" "ASPHD1" 2.25484e-12 8.50952373809524e-11 TRUE
"5961" "AC018755.1" 2.25484e-12 8.50952373809524e-11 TRUE
"6001" "RNF43" 2.460697e-12 8.50952373809524e-11 TRUE
"6007" "FAM107A" 1.811263e-12 8.50952373809524e-11 TRUE
"6056" "BMP2K" 1.21825e-12 8.50952373809524e-11 TRUE
"6213" "CGRRF1" 1.570923e-12 8.50952373809524e-11 TRUE
"6225" "ZNF44" 1.115025e-12 8.50952373809524e-11 TRUE
"6228" "C19orf10" 2.570128e-12 8.50952373809524e-11 TRUE
"6361" "SAP30" 1.811263e-12 8.50952373809524e-11 TRUE
"6367" "S100A5" 1.733227e-12 8.50952373809524e-11 TRUE
"6426" "ESRP1" 9.75848e-13 8.50952373809524e-11 TRUE
"6460" "EFHD1" 1.066681e-12 8.50952373809524e-11 TRUE
"6494" "C1orf172" 1.658885e-12 8.50952373809524e-11 TRUE
"6496" "RASL11B" 8.930507e-13 8.50952373809524e-11 TRUE
"6511" "PRDM16" 1.977347e-12 8.50952373809524e-11 TRUE
"6541" "COL5A3" 1.519103e-12 8.50952373809524e-11 TRUE
"6552" "CCDC88A" 2.570428e-12 8.50952373809524e-11 TRUE
"6567" "CTNNAL1" 1.165516e-12 8.50952373809524e-11 TRUE
"6625" "GHITM" 1.519103e-12 8.50952373809524e-11 TRUE
"6680" "MAL2" 1.519103e-12 8.50952373809524e-11 TRUE
"6725" "CYS1" 1.977347e-12 8.50952373809524e-11 TRUE
"6747" "EGFR" 2.25484e-12 8.50952373809524e-11 TRUE
"6772" "KCTD11" 1.115025e-12 8.50952373809524e-11 TRUE
"6842" "C1QTNF6" 1.21825e-12 8.50952373809524e-11 TRUE
"6853" "SHMT2" 2.25484e-12 8.50952373809524e-11 TRUE
"6936" "GLRX5" 8.930507e-13 8.50952373809524e-11 TRUE
"6947" "DLGAP3" 9.760842e-13 8.50952373809524e-11 TRUE
"6978" "YEATS2" 1.390896e-12 8.50952373809524e-11 TRUE
"7007" "EIF4A1" 2.570128e-12 8.50952373809524e-11 TRUE
"7034" "IDI1" 8.930507e-13 8.50952373809524e-11 TRUE
"7063" "GPR98" 1.330836e-12 8.50952373809524e-11 TRUE
"7080" "PIP5K1B" 1.518923e-12 8.50952373809524e-11 TRUE
"7085" "RAPGEF3" 2.158345e-12 8.50952373809524e-11 TRUE
"7115" "EGF" 1.020396e-12 8.50952373809524e-11 TRUE
"7133" "HLA-F" 1.115025e-12 8.50952373809524e-11 TRUE
"7138" "FATE1" 1.977347e-12 8.50952373809524e-11 TRUE
"7160" "KRBA1" 1.21825e-12 8.50952373809524e-11 TRUE
"7170" "GPC5" 8.169609e-13 8.50952373809524e-11 TRUE
"7173" "TBC1D13" 1.587297e-12 8.50952373809524e-11 TRUE
"7205" "ASF1A" 1.977347e-12 8.50952373809524e-11 TRUE
"7209" "ZNF502" 2.570428e-12 8.50952373809524e-11 TRUE
"7241" "PSMB9" 1.587485e-12 8.50952373809524e-11 TRUE
"7252" "TMPRSS4" 1.519103e-12 8.50952373809524e-11 TRUE
"7253" "LZTS1" 1.587485e-12 8.50952373809524e-11 TRUE
"7255" "CXCR4" 1.733432e-12 8.50952373809524e-11 TRUE
"7351" "PCDP1" 2.065902e-12 8.50952373809524e-11 TRUE
"7384" "MFSD4" 9.75966e-13 8.50952373809524e-11 TRUE
"7393" "FUT11" 1.273322e-12 8.50952373809524e-11 TRUE
"7418" "SNX12" 2.254576e-12 8.50952373809524e-11 TRUE
"7436" "WNK4" 1.066681e-12 8.50952373809524e-11 TRUE
"7549" "APLN" 1.273322e-12 8.50952373809524e-11 TRUE
"7558" "CD72" 2.065902e-12 8.50952373809524e-11 TRUE
"7560" "CDKN2A" 1.658885e-12 8.50952373809524e-11 TRUE
"7572" "C1orf226" 1.330836e-12 8.50952373809524e-11 TRUE
"7650" "ATP6V1E1" 2.25484e-12 8.50952373809524e-11 TRUE
"7660" "NDRG2" 1.587485e-12 8.50952373809524e-11 TRUE
"7675" "RELT" 1.330677e-12 8.50952373809524e-11 TRUE
"7695" "RAB42" 1.21825e-12 8.50952373809524e-11 TRUE
"7872" "ALDH6A1" 2.25484e-12 8.50952373809524e-11 TRUE
"7876" "UQCRFS1" 1.115025e-12 8.50952373809524e-11 TRUE
"7889" "ATP6V1C2" 1.165516e-12 8.50952373809524e-11 TRUE
"7894" "CROT" 1.21825e-12 8.50952373809524e-11 TRUE
"7936" "TNNC1" 1.330836e-12 8.50952373809524e-11 TRUE
"8046" "TSPAN6" 1.435596e-12 8.50952373809524e-11 TRUE
"8153" "LDHB" 1.330836e-12 8.50952373809524e-11 TRUE
"8166" "FREM2" 1.587485e-12 8.50952373809524e-11 TRUE
"8175" "HOMER1" 1.977347e-12 8.50952373809524e-11 TRUE
"8182" "HSF4" 1.330836e-12 8.50952373809524e-11 TRUE
"8200" "AK3" 2.158345e-12 8.50952373809524e-11 TRUE
"8227" "AQP3" 1.115025e-12 8.50952373809524e-11 TRUE
"8276" "WASF3" 2.355564e-12 8.50952373809524e-11 TRUE
"8281" "MAZ" 1.330836e-12 8.50952373809524e-11 TRUE
"8341" "FCGR2A" 2.460697e-12 8.50952373809524e-11 TRUE
"8343" "CASP1" 2.571223e-12 8.50952373809524e-11 TRUE
"8379" "DCAF11" 1.21825e-12 8.50952373809524e-11 TRUE
"8415" "BRCC3" 2.570428e-12 8.50952373809524e-11 TRUE
"8443" "SLC25A35" 1.020396e-12 8.50952373809524e-11 TRUE
"8470" "C7orf41" 8.930507e-13 8.50952373809524e-11 TRUE
"8479" "KIAA1549L" 1.892295e-12 8.50952373809524e-11 TRUE
"8528" "PEX2" 1.453614e-12 8.50952373809524e-11 TRUE
"8551" "BBC3" 1.390896e-12 8.50952373809524e-11 TRUE
"8560" "CTDNEP1" 8.928339e-13 8.50952373809524e-11 TRUE
"8597" "SMYD4" 2.065902e-12 8.50952373809524e-11 TRUE
"8608" "C7orf49" 1.273322e-12 8.50952373809524e-11 TRUE
"8621" "FDXR" 1.273322e-12 8.50952373809524e-11 TRUE
"8625" "EPB41L1" 1.587485e-12 8.50952373809524e-11 TRUE
"8627" "C2orf54" 1.587485e-12 8.50952373809524e-11 TRUE
"8644" "LURAP1" 1.658885e-12 8.50952373809524e-11 TRUE
"8669" "ARRB2" 2.158345e-12 8.50952373809524e-11 TRUE
"8681" "NHLRC4" 9.760842e-13 8.50952373809524e-11 TRUE
"8701" "NFAM1" 1.977114e-12 8.50952373809524e-11 TRUE
"8817" "TUSC2" 2.158345e-12 8.50952373809524e-11 TRUE
"8831" "NRL" 1.435596e-12 8.50952373809524e-11 TRUE
"8901" "ZNF677" 2.570428e-12 8.50952373809524e-11 TRUE
"8920" "RPS6KA6" 2.158091e-12 8.50952373809524e-11 TRUE
"8968" "TSPYL1" 2.355013e-12 8.50952373809524e-11 TRUE
"8983" "CLCNKB" 1.519103e-12 8.50952373809524e-11 TRUE
"8997" "KNG1" 8.541746e-13 8.50952373809524e-11 TRUE
"9012" "PCGF1" 2.158345e-12 8.50952373809524e-11 TRUE
"9020" "SGK2" 1.165376e-12 8.50952373809524e-11 TRUE
"9027" "GGT6" 9.75966e-13 8.50952373809524e-11 TRUE
"9033" "NOS1AP" 2.065902e-12 8.50952373809524e-11 TRUE
"9058" "NAALADL2" 1.390896e-12 8.50952373809524e-11 TRUE
"9140" "SYNJ2BP" 1.851235e-12 8.50952373809524e-11 TRUE
"9144" "ANKRD46" 2.158345e-12 8.50952373809524e-11 TRUE
"9219" "NIPAL1" 8.169609e-13 8.50952373809524e-11 TRUE
"9230" "PCDH9" 1.658885e-12 8.50952373809524e-11 TRUE
"9277" "NPY5R" 1.165516e-12 8.50952373809524e-11 TRUE
"9319" "CORO1C" 2.570428e-12 8.50952373809524e-11 TRUE
"9325" "PROM2" 8.930507e-13 8.50952373809524e-11 TRUE
"9347" "FAM171A1" 2.355564e-12 8.50952373809524e-11 TRUE
"9351" "PRPS2" 8.541746e-13 8.50952373809524e-11 TRUE
"9386" "MAPK10" 2.355564e-12 8.50952373809524e-11 TRUE
"9421" "PIGH" 9.760842e-13 8.50952373809524e-11 TRUE
"9434" "STAC3" 2.355564e-12 8.50952373809524e-11 TRUE
"9468" "ZNF582" 1.165376e-12 8.50952373809524e-11 TRUE
"9504" "DEFB1" 8.930507e-13 8.50952373809524e-11 TRUE
"9511" "PPP1R9B" 2.065902e-12 8.50952373809524e-11 TRUE
"9515" "ESM1" 1.519103e-12 8.50952373809524e-11 TRUE
"9588" "C1orf204" 1.587485e-12 8.50952373809524e-11 TRUE
"9615" "SFXN3" 2.25484e-12 8.50952373809524e-11 TRUE
"9631" "TTYH3" 2.158345e-12 8.50952373809524e-11 TRUE
"9645" "SORT1" 1.115025e-12 8.50952373809524e-11 TRUE
"9661" "WDFY2" 2.158345e-12 8.50952373809524e-11 TRUE
"9699" "HSD17B12" 2.065902e-12 8.50952373809524e-11 TRUE
"9776" "WNT9B" 8.541746e-13 8.50952373809524e-11 TRUE
"9798" "UXS1" 1.519103e-12 8.50952373809524e-11 TRUE
"9822" "KLHL15" 1.658885e-12 8.50952373809524e-11 TRUE
"10012" "TYMP" 1.21825e-12 8.50952373809524e-11 TRUE
"10064" "CASP5" 2.355564e-12 8.50952373809524e-11 TRUE
"10087" "SRGAP3" 1.733432e-12 8.50952373809524e-11 TRUE
"10093" "RANBP3L" 9.336619e-13 8.50952373809524e-11 TRUE
"10098" "ERVFRD-1" 1.390896e-12 8.50952373809524e-11 TRUE
"10115" "RAB25" 1.165516e-12 8.50952373809524e-11 TRUE
"10131" "RIMKLA" 2.355564e-12 8.50952373809524e-11 TRUE
"10138" "EPN3" 1.453614e-12 8.50952373809524e-11 TRUE
"10176" "PRRG2" 2.570428e-12 8.50952373809524e-11 TRUE
"10189" "EDA2R" 8.930507e-13 8.50952373809524e-11 TRUE
"10234" "HRG" 8.541746e-13 8.50952373809524e-11 TRUE
"10273" "SLC25A25" 1.020396e-12 8.50952373809524e-11 TRUE
